Missing Data,
570002677260,
570002690859,
570002597023,
570002649590,
570002598934,
570002602088,
570002669478,
570002691091,
570002669961,
570002694498,
570002691621,
570002690892,
570002590060,
570002662656,
570002606093,
570002599676,
570002604378,
570002595634,
570002689930,
570002608476,
570002646224,
570002694140,
570002694105,
570002597261,
570002674116,
570002692501,
